ID, name, year, director, writers, actors 
003578, Good Bye Lenin!, 2003, Wolfgang Becker, Bernd Lichtenberg; Wolfgang Becker, Daniel Brühl; Katrin Saß; Chulpan Khamatova
003579, Southland Tales, 2006, Richard Kelly, Richard Kelly, Dwayne Johnson; Sarah Michelle Gellar; Seann William Scott
003580, Beethoven, 1992, Brian Levant, John Hughes; Amy Holden Jones, Charles Grodin; Bonnie Hunt; Dean Jones
003581, Return to Halloweentown, 2006, David Jackson, Max Enscoe; Annie DeYoung, Sara Paxton; Judith Hoag; Lucas Grabeel
003582, Chi-Raq, 2015, Spike Lee, Spike Lee; Kevin Willmott, Nick Cannon; Teyonah Parris; Anya Engel-Adams
003583, Howl(I), 2015, Paul Hyett, Mark Huckerby; Nick Ostler, Ed Speleers; Holly Weston; Elliot Cowan
003584, Get the Gringo, 2012, Adrian Grunberg, Mel Gibson; Stacy Perskie, Mel Gibson; Kevin Hernandez; Daniel Giménez Cacho
003585, The Starving Games, 2013, Jason Friedberg; Aaron Seltzer, Jason Friedberg; Aaron Seltzer, Maiara Walsh; Brant Daugherty; Cody Christian
003586, Charlotte's Web, 2006, Gary Winick, Susannah Grant; Karey Kirkpatrick, Dakota Fanning; Julia Roberts; Oprah Winfrey
003587, Hannah Montana: The Movie, 2009, Peter Chelsom, Dan Berendsen; Michael Poryes, Miley Cyrus; Emily Osment; Billy Ray Cyrus
003588, The Wild Bunch, 1969, Sam Peckinpah, Walon Green; Sam Peckinpah, William Holden; Ernest Borgnine; Robert Ryan
003589, Skyline, 2010, Colin Strause; Greg Strause, Joshua Cordes; Liam O'Donnell, Eric Balfour; Donald Faison; Scottie Thompson
003590, Breaking the Girls, 2012, Jamie Babbit, Mark Distefano; Guinevere Turner, Agnes Bruckner; Madeline Zima; Shawn Ashmore
003591, Search Party, 2014, Scot Armstrong, Mike Gagerman; Andrew Waller, Krysten Ritter; Rosa Salazar; Alison Brie
003592, Ninja Assassin, 2009, James McTeigue, Matthew Sand; J. Michael Straczynski, Rick Yune; Naomie Harris; Rain
003593, The Sisterhood of Night, 2014, Caryn Waechter, Marilyn Fu; Steven Millhauser, Georgie Henley; Kara Hayward; Willa Cuthrell
003594, The Italian Job, 1969, Peter Collinson, Troy Kennedy-Martin, Michael Caine; Noel Coward; Benny Hill
003595, Edge of Darkness, 2010, Martin Campbell, William Monahan; Andrew Bovell, Mel Gibson; Ray Winstone; Danny Huston
003596, United 93, 2006, Paul Greengrass, Paul Greengrass, David Alan Basche; Olivia Thirlby; Liza Colón-Zayas
003597, The Haunting in Connecticut, 2009, Peter Cornwell, Adam Simon; Tim Metcalfe, Virginia Madsen; Martin Donovan; Elias Koteas
003598, Great Expectations, 1998, Alfonso Cuarón, Charles Dickens; Mitch Glazer, Ethan Hawke; Gwyneth Paltrow; Hank Azaria
003599, Along Came Polly, 2004, John Hamburg, John Hamburg, Ben Stiller; Jennifer Aniston; Debra Messing
003600, Bandits, 2001, Barry Levinson, Harley Peyton, Bruce Willis; Billy Bob Thornton; Cate Blanchett
003601, Loin des hommes, 2014, David Oelhoffen, Albert Camus; Antoine Lacomblez, Viggo Mortensen; Reda Kateb; Djemel Barek
003602, Erased, 2012, Philipp Stölzl, Arash Amel, Aaron Eckhart; Nick Alachiotis; Liana Liberato
003603, Into the Forest, 2015, Patricia Rozema, Jean Hegland; Patricia Rozema, Ellen Page; Evan Rachel Wood; Max Minghella
003604, Double Indemnity, 1944, Billy Wilder, Billy Wilder; Raymond Chandler, Fred MacMurray; Barbara Stanwyck; Edward G. Robinson
003605, Powder, 1995, Victor Salva, Victor Salva, Mary Steenburgen; Sean Patrick Flanery; Lance Henriksen
003606, Flatliners, 1990, Joel Schumacher, Peter Filardi, Kiefer Sutherland; Kevin Bacon; Julia Roberts
003607, All the President's Men, 1976, Alan J. Pakula, Carl Bernstein; Bob Woodward, Dustin Hoffman; Robert Redford; Jack Warden
003608, Becoming Jane, 2007, Julian Jarrold, Jane Austen; Kevin Hood, Anne Hathaway; James McAvoy; Julie Walters
003609, Stolen Summer, 2002, Pete Jones, Pete Jones, Amara Balthrop-Lewis; Kevin Pollak; Aidan Quinn
003610, Playing for Keeps, 2012, Gabriele Muccino, Robbie Fox, Gerard Butler; Jessica Biel; Dennis Quaid
003611, Last Days in the Desert, 2015, Rodrigo García, Rodrigo García, Susan Gray; Ciarán Hinds; Ewan McGregor
003612, 6 Souls, 2010, Måns Mårlind; Björn Stein, Michael Cooney, Julianne Moore; Jonathan Rhys Meyers; Jeffrey DeMunn
003613, Just Like Heaven, 2005, Mark Waters, Peter Tolan; Leslie Dixon, Reese Witherspoon; Mark Ruffalo; Donal Logue
003614, Gosford Park, 2001, Robert Altman, Robert Altman; Julian Fellowes, Maggie Smith; Ryan Phillippe; Michael Gambon
003615, The Angriest Man in Brooklyn, 2014, Phil Alden Robinson, Daniel Taplitz; Assi Dayan, Robin Williams; Mila Kunis; Peter Dinklage
003616, The Wrong Woman, 2013, Richard Gabai, Leland Douglas, Danica McKellar; Jonathan Bennett; Jaleel White
003617, Convoy, 1978, Sam Peckinpah, Bill L. Norton; Bill Fries, Kris Kristofferson; Ali MacGraw; Ernest Borgnine
003618, Red Lights, 2012, Rodrigo Cortés, Rodrigo Cortés, Sigourney Weaver; Robert De Niro; Cillian Murphy
003619, The Rocketeer, 1991, Joe Johnston, Dave Stevens; Danny Bilson, Billy Campbell; Jennifer Connelly; Alan Arkin
003620, Machine Gun Preacher, 2011, Marc Forster, Jason Keller, Gerard Butler; Michelle Monaghan; Michael Shannon
003621, Raising Helen, 2004, Garry Marshall, Patrick J. Clifton; Beth Rigazio, Kate Hudson; John Corbett; Joan Cusack
003622, Pirates of Silicon Valley, 1999, Martyn Burke, Paul Freiberger; Michael Swaine, Anthony Michael Hall; Noah Wyle; Joey Slotnick
003623, Temptation: Confessions of a Marriage Counselor, 2013, Tyler Perry, Tyler Perry; Tyler Perry, Jurnee Smollett-Bell; Vanessa Williams; Brandy Norwood
003624, Dracula, 1931, Tod Browning, Bram Stoker; Hamilton Deane, Bela Lugosi; Helen Chandler; David Manners
003625, Billy Lynn's Long Halftime Walk, 2016, Ang Lee, Simon Beaufoy; Jean-Christophe Castelli, Kristen Stewart; Garrett Hedlund; Vin Diesel
003626, Mandariinid, 2013, Zaza Urushadze, Zaza Urushadze, Lembit Ulfsak; Elmo Nüganen; Giorgi Nakashidze
003627, Man of the House(I), 2005, Stephen Herek, John J. McLaughlin; Scott Lobdell, Tommy Lee Jones; Christina Milian; Kelli Garner
003628, The Conversation, 1974, Francis Ford Coppola, Francis Ford Coppola, Gene Hackman; John Cazale; Allen Garfield
003629, Dante's Peak, 1997, Roger Donaldson, Leslie Bohem, Pierce Brosnan; Linda Hamilton; Jamie Renée Smith
003630, Feuchtgebiete, 2013, David Wnendt, Claus Falkenberg; David Wnendt, Carla Juri; Christoph Letkowski; Marlen Kruse
003631, Advantageous, 2015, Jennifer Phang, Jacqueline Kim; Jennifer Phang, Jacqueline Kim; James Urbaniak; Freya Adams
003632, You Only Live Twice, 1967, Lewis Gilbert, Harold Jack Bloom; Roald Dahl, Sean Connery; Akiko Wakabayashi; Mie Hama
003633, Gods of Egypt, 2016, Alex Proyas, Matt Sazama; Burk Sharpless, Gerard Butler; Nikolaj Coster-Waldau; Abbey Lee
003634, Hero(V), 2015, Nikhil Advani, Subhash Ghai; Nikhil Advani, Sooraj Pancholi; Athiya Shetty; Tigmanshu Dhulia
003635, The Last Dragon, 1985, Michael Schultz, Louis Venosta, Taimak; Vanity; Christopher Murney
003636, Manhattan Romance, 2015, Tom O'Brien, Tom O'Brien, Jessie Barr; Louis Cancelmi; Margaret Daly
003637, Flight of the Phoenix, 2004, John Moore, Lukas Heller; Scott Frank, Dennis Quaid; Miranda Otto; Giovanni Ribisi
003638, Angel Heart, 1987, Alan Parker, William Hjortsberg; Alan Parker, Mickey Rourke; Robert De Niro; Lisa Bonet
003639, Ratchet and Clank, 2016, Jericca Cleland; Kevin Munroe, T.J. Fixman, James Arnold Taylor; David Kaye; Jim Ward
003640, Braindead, 1992, Peter Jackson, Stephen Sinclair; Stephen Sinclair, Timothy Balme; Diana Peñalver; Elizabeth Moody
003641, Superman IV: The Quest for Peace, 1987, Sidney J. Furie, Joe Shuster; Jerry Siegel, Christopher Reeve; Gene Hackman; Margot Kidder
003642, The House of Seven Corpses, 1974, Paul Harrison, Paul Harrison; Thomas J. Kelly, John Ireland; Faith Domergue; John Carradine
003643, Goon: Last of the Enforcers, 2016, Jay Baruchel, Jay Baruchel; Jesse Chabot, Liev Schreiber; Elisha Cuthbert; Seann William Scott
003644, Meet the Spartans, 2008, Jason Friedberg; Aaron Seltzer, Jason Friedberg; Aaron Seltzer, Sean Maguire; Kevin Sorbo; Carmen Electra
003645, Waitress, 2007, Adrienne Shelly, Adrienne Shelly, Keri Russell; Nathan Fillion; Jeremy Sisto
003646, Rambo: Last Blood, , , , 
003647, Salmon Fishing in the Yemen, 2011, Lasse Hallström, Simon Beaufoy; Paul Torday, Ewan McGregor; Emily Blunt; Amr Waked
003648, Little Accidents, 2014, Sara Colangelo, Sara Colangelo, Elizabeth Banks; Boyd Holbrook; Jacob Lofland
003649, End of Days, 1999, Peter Hyams, Andrew W. Marlowe, Arnold Schwarzenegger; Gabriel Byrne; Robin Tunney
003650, Superman III, 1983, Richard Lester, Joe Shuster; Jerry Siegel, Christopher Reeve; Richard Pryor; Margot Kidder
003651, Without a Paddle, 2004, Steven Brill, Fred Wolf; Harris Goldberg, Matthew Lillard; Seth Green; Dax Shepard
003652, Born on the Fourth of July, 1989, Oliver Stone, Ron Kovic; Oliver Stone, Tom Cruise; Raymond J. Barry; Caroline Kava
003653, Body Heat, 1981, Lawrence Kasdan, Lawrence Kasdan, William Hurt; Kathleen Turner; Richard Crenna
003654, Bottle Rocket, 1996, Wes Anderson, Owen Wilson; Wes Anderson, Luke Wilson; Owen Wilson; Ned Dowd
003655, Sugar &amp; Spice, 2001, Francine McDougall, Mandy Nelson, Marla Sokoloff; Marley Shelton; Melissa George
003656, Elephant, 2003, Gus Van Sant, Gus Van Sant, Elias McConnell; Alex Frost; Eric Deulen
003657, Playdate, 2012, Andrew C. Erin, Kraig Wenman, Marguerite Moreau; Richard Ruccolo; Abby Brammell
003658, Moonraker, 1979, Lewis Gilbert, Christopher Wood, Roger Moore; Lois Chiles; Michael Lonsdale
003659, Pressure(II), 2015, Ron Scalpello, Louis Baxter; Alan McKenna, Danny Huston; Matthew Goode; Joe Cole
003660, Aanmodderfakker, 2014, Michiel ten Horn, Michiel ten Horn; Anne Barnhoorn, Pepijn Cladder; Anis de Jong; Yannick van de Velde
003661, Along Came a Spider, 2001, Lee Tamahori, James Patterson; Marc Moss, Morgan Freeman; Michael Wincott; Monica Potter
003662, Krampus: The Christmas Devil, 2013, Jason Hull, Jason Hull, Jay Dobyns; Paul Ferm; Andrew Ferrick
003663, D2: The Mighty Ducks, 1994, Sam Weisman, Steven Brill; Steven Brill, Emilio Estevez; Kathryn Erbe; Michael Tucker
003664, Zoom, 2006, Peter Hewitt, Adam Rifkin; David Berenbaum, Tim Allen; Courteney Cox; Chevy Chase
003665, Dangerous Liaisons, 1988, Stephen Frears, Christopher Hampton; Choderlos de Laclos, Glenn Close; John Malkovich; Michelle Pfeiffer
003666, The Midnight Meat Train, 2008, Ryûhei Kitamura, Jeff Buhler; Clive Barker, Vinnie Jones; Bradley Cooper; Leslie Bibb
003667, Transit(I), 2012, Antonio Negret, Michael Gilvary, Jim Caviezel; James Frain; Elisabeth Röhm
003668, Midnight Express, 1978, Alan Parker, Billy Hayes; William Hoffer, Brad Davis; Irene Miracle; Bo Hopkins
003669, Mermaids, 1990, Richard Benjamin, Patty Dann; June Roberts, Cher; Bob Hoskins; Winona Ryder
003670, Tekken, 2010, Dwight H. Little, Alan B. McElroy, Jon Foo; Kelly Overton; Cary-Hiroyuki Tagawa
003671, Grosse Pointe Blank, 1997, George Armitage, Tom Jankiewicz; Tom Jankiewicz, John Cusack; Minnie Driver; Dan Aykroyd
003672, Untitled Woody Allen Project, 2016, Woody Allen, Woody Allen, Anna Camp; Blake Lively; Kristen Stewart
003673, The Story of O, 1975, Just Jaeckin, Dominique Aury; Sébastien Japrisot, Corinne Cléry; Udo Kier; Anthony Steel
003674, The Man Who Wasn't There, 2001, Joel Coen; Ethan Coen, Joel Coen; Ethan Coen, Billy Bob Thornton; Frances McDormand; Michael Badalucco
003675, Fallen(II), 2016, Scott Hicks, Lauren Kate; Nichole Millard, Lola Kirke; Jeremy Irvine; Addison Timlin
003676, Land of the Dead, 2005, George A. Romero, George A. Romero, John Leguizamo; Asia Argento; Simon Baker
003677, The Tale of the Princess Kaguya, 2013, Isao Takahata, Isao Takahata; Isao Takahata, Chloë Grace Moretz; James Caan; Mary Steenburgen
003678, Dancer in the Dark, 2000, Lars von Trier, Lars von Trier, Björk; Catherine Deneuve; David Morse
003679, Mommie Dearest, 1981, Frank Perry, Christina Crawford; Frank Yablans, Faye Dunaway; Diana Scarwid; Steve Forrest
003680, Nightbreed, 1990, Clive Barker, Clive Barker; Clive Barker, Craig Sheffer; David Cronenberg; Anne Bobby
003681, The Last Emperor, 1987, Bernardo Bertolucci, Mark Peploe; Bernardo Bertolucci, John Lone; Joan Chen; Peter O'Toole
003682, The Broken Circle Breakdown, 2012, Felix van Groeningen, Johan Heldenbergh; Mieke Dobbels, Veerle Baetens; Johan Heldenbergh; Nell Cattrysse
003683, The Hitcher, 2007, Dave Meyers, Eric Red; Jake Wade Wall, Sean Bean; Sophia Bush; Zachary Knighton
003684, The Last of Us, , , Neil Druckmann, Maisie Williams
003685, Ex with Benefits, 2015, Gino M. Santos, Ruth Mendoza; Jeff Stelton, Rayver Cruz; Coleen Garcia; Meg Imperial
003686, The Inbetweeners 2, 2014, Damon Beesley; Iain Morris, Damon Beesley; Iain Morris, Simon Bird; James Buckley; Blake Harrison
003687, Cobra, 1986, George P. Cosmatos, Paula Gosling; Sylvester Stallone, Sylvester Stallone; Brigitte Nielsen; Reni Santoni
003688, Cyberbully, 2011, Charles Binamé, Teena Booth, Emily Osment; Kay Panabaker; Meaghan Rath
003689, Men in Black 4, , , Lowell Cunningham; Oren Uziel, 
003690, Klown, 2010, Mikkel Nørgaard, Casper Christensen; Frank Hvam, Frank Hvam; Casper Christensen; Marcuz Jess Petersen
003691, Withnail &amp; I, 1987, Bruce Robinson, Bruce Robinson, Richard E. Grant; Paul McGann; Richard Griffiths
003692, Paint Your Wagon, 1969, Joshua Logan, Alan Jay Lerner; Alan Jay Lerner, Lee Marvin; Clint Eastwood; Jean Seberg
003693, Bubble Boy, 2001, Blair Hayes, Cinco Paul; Ken Daurio, Jake Gyllenhaal; Swoosie Kurtz; Marley Shelton
003694, Expelled, 2014, Alex Goyette, Alex Goyette, Cameron Dallas; Matt Shively; Lia Marie Johnson
003695, The Best Man Holiday, 2013, Malcolm D. Lee, Malcolm D. Lee; Malcolm D. Lee, Monica Calhoun; Morris Chestnut; Melissa De Sousa
003696, Anna Nicole, 2013, Mary Harron, Joe Batteer; John Rice, Agnes Bruckner; Martin Landau; Adam Goldberg
003697, Obsessed, 2009, Steve Shill, David Loughery, Beyoncé Knowles; Idris Elba; Ali Larter
003698, Night of the Comet, 1984, Thom Eberhardt, Thom Eberhardt, Catherine Mary Stewart; Kelli Maroney; Robert Beltran
003699, Chalet Girl, 2011, Phil Traill, Tom Williams, Felicity Jones; Ed Westwick; Bill Nighy
003700, The Legend of Conan, , , Will Beall; Andrea Berloff, Arnold Schwarzenegger
003701, Earth Girls Are Easy, 1988, Julien Temple, Julie Brown; Charlie Coffey, Geena Davis; Jeff Goldblum; Jim Carrey
003702, At Close Range, 1986, James Foley, Elliott Lewitt; Nicholas Kazan, Sean Penn; Christopher Walken; Mary Stuart Masterson
003703, Penelope, 2006, Mark Palansky, Leslie Caveny, Christina Ricci; James McAvoy; Reese Witherspoon
003704, Gigli, 2003, Martin Brest, Martin Brest, Ben Affleck; Jennifer Lopez; Justin Bartha
003705, The Other Woman, 2009, Don Roos, Don Roos; Ayelet Waldman, Natalie Portman; Scott Cohen; Lisa Kudrow
003706, Beautiful Girls, 1996, Ted Demme, Scott Rosenberg, Matt Dillon; Timothy Hutton; Noah Emmerich
003707, Dracula 2000, 2000, Patrick Lussier, Joel Soisson; Patrick Lussier, Gerard Butler; Justine Waddell; Jonny Lee Miller
003708, Inbred, 2011, Alex Chandon, Alex Chandon; Alex Chandon, Jo Hartley; James Doherty; Seamus O'Neill
003709, The Hustler, 1961, Robert Rossen, Sidney Carroll; Robert Rossen, Paul Newman; Jackie Gleason; Piper Laurie
003710, The Hills Have Eyes II, 2007, Martin Weisz, Wes Craven; Jonathan Craven, Daniella Alonso; Jacob Vargas; Michael Bailey Smith
003711, Trouble with the Curve, 2012, Robert Lorenz, Randy Brown, Clint Eastwood; Amy Adams; John Goodman
003712, Tuck Everlasting, 2002, Jay Russell, Natalie Babbitt; Jeffrey Lieber, Alexis Bledel; Jonathan Jackson; Sissy Spacek
003713, The Manchurian Candidate, 2004, Jonathan Demme, Richard Condon; George Axelrod, Denzel Washington; Liev Schreiber; Meryl Streep
003714, Open Grave, 2013, Gonzalo López-Gallego, Eddie Borey; Chris Borey, Sharlto Copley; Thomas Kretschmann; Josie Ho
003715, Rendition, 2007, Gavin Hood, Kelley Sane, Reese Witherspoon; Jake Gyllenhaal; Peter Sarsgaard
003716, The Rules of Attraction, 2002, Roger Avary, Bret Easton Ellis; Roger Avary, James Van Der Beek; Ian Somerhalder; Shannyn Sossamon
003717, Animal(I), 2014, Brett Simmons, Thommy Hutson; Catherine Trillo, Joey Lauren Adams; Elizabeth Gillies; Paul Iacono
003718, Parkland, 2013, Peter Landesman, Peter Landesman; Vincent Bugliosi, Zac Efron; Tom Welling; Billy Bob Thornton
003719, The Saint, 1997, Phillip Noyce, Leslie Charteris; Jonathan Hensleigh, Val Kilmer; Elisabeth Shue; Rade Serbedzija
003720, La leggenda del Titanic, 1999, Orlando Corradi; Kim J. Ok, Clelia Castaldo; Orlando Corradi, Gregory Snegoff; Francis Pardeilhan; Jane Alexander
003721, Boiler Room, 2000, Ben Younger, Ben Younger, Giovanni Ribisi; Vin Diesel; Nia Long
003722, My Left Foot, 1989, Jim Sheridan, Shane Connaughton; Jim Sheridan, Daniel Day-Lewis; Brenda Fricker; Alison Whelan
003723, The Collection(II), 2012, Marcus Dunstan, Patrick Melton; Marcus Dunstan, Josh Stewart; Emma Fitzpatrick; Christopher McDonald
003724, New York, I Love You, 2008, Fatih Akin; Yvan Attal, Hu Hong; Yao Meng, Shia LaBeouf; Natalie Portman; Bradley Cooper
003725, Cocoon, 1985, Ron Howard, Tom Benedek; David Saperstein, Don Ameche; Wilford Brimley; Hume Cronyn
003726, The Guard, 2011, John Michael McDonagh, John Michael McDonagh, Brendan Gleeson; Don Cheadle; Mark Strong
003727, Blast from the Past, 1999, Hugh Wilson, Bill Kelly; Bill Kelly, Brendan Fraser; Alicia Silverstone; Christopher Walken
003728, Weekend(II), 2011, Andrew Haigh, Andrew Haigh, Tom Cullen; Chris New; Jonathan Race
003729, Io sono l'amore, 2009, Luca Guadagnino, Barbara Alberti; Ivan Cotroneo, Tilda Swinton; Flavio Parenti; Edoardo Gabbriellini
003730, The Invitation(I), 2015, Karyn Kusama, Phil Hay; Matt Manfredi, Michiel Huisman; Michelle Krusiec; Logan Marshall-Green
003731, Julie &amp; Julia, 2009, Nora Ephron, Nora Ephron; Julie Powell, Amy Adams; Meryl Streep; Chris Messina
003732, Bhaag Johnny, 2015, Shivam Nair, , Kunal Khemu; Zoa Morani; Mandana Karimi
003733, Piku, 2015, Shoojit Sircar, Juhi Chaturvedi, Amitabh Bachchan; Deepika Padukone; Irrfan Khan
003734, Heavenly Creatures, 1994, Peter Jackson, Fran Walsh; Peter Jackson, Melanie Lynskey; Kate Winslet; Sarah Peirse
003735, Turbo, 2013, David Soren, Darren Lemke; Robert D. Siegel, Ryan Reynolds; Paul Giamatti; Maya Rudolph
003736, Harsh Times, 2005, David Ayer, David Ayer, Christian Bale; Eva Longoria; Freddy Rodríguez
003737, Liberal Arts, 2012, Josh Radnor, Harold Manning; Josh Radnor, Josh Radnor; Elizabeth Olsen; Zac Efron
003738, Half Nelson, 2006, Ryan Fleck, Ryan Fleck; Anna Boden, Ryan Gosling; Anthony Mackie; Shareeka Epps
003739, Bug, 2006, William Friedkin, Tracy Letts; Tracy Letts, Ashley Judd; Michael Shannon; Harry Connick Jr.
003740, Jawbreaker, 1999, Darren Stein, Darren Stein, Rose McGowan; Rebecca Gayheart; Julie Benz
003741, Mystery, Alaska, 1999, Jay Roach, David E. Kelley; Sean O'Byrne, Russell Crowe; Burt Reynolds; Hank Azaria
003742, The Book of Henry, 2016, Colin Trevorrow, Gregg Hurwitz, Naomi Watts; Lee Pace; Sarah Silverman
003743, Halloween: Resurrection, 2002, Rick Rosenthal, Debra Hill; John Carpenter, Jamie Lee Curtis; Busta Rhymes; Brad Loree
003744, Soul Plane, 2004, Jessy Terrero, Bo Zenga; Chuck Wilson, Dwayne Adway; Snoop Dogg; Tom Arnold
003745, The Queen, 2006, Stephen Frears, Peter Morgan, Helen Mirren; Michael Sheen; James Cromwell
003746, Turistas, 2006, John Stockwell, Michael Ross, Josh Duhamel; Melissa George; Olivia Wilde
003747, Labor of Love, , M. Night Shyamalan, M. Night Shyamalan, Bruce Willis; Ben Winchell
003748, Grave Encounters, 2011, Colin Minihan; Stuart Ortiz, The Vicious Brothers; Stuart Ortiz, Ben Wilkinson; Sean Rogerson; Ashleigh Gryzko
003749, Spread, 2009, David Mackenzie, Jason Hall; Jason Hall, Ashton Kutcher; Anne Heche; Margarita Levieva
003750, A Man Apart, 2003, F. Gary Gray, Christian Gudegast; Paul Scheuring, Vin Diesel; Timothy Olyphant; Larenz Tate
003751, Mientras duermes, 2011, Jaume Balagueró, Alberto Marini, Luis Tosar; Marta Etura; Alberto San Juan
003752, Death at a Funeral, 2010, Neil LaBute, Dean Craig, Chris Rock; Martin Lawrence; Keith David
003753, The People Under the Stairs, 1991, Wes Craven, Wes Craven, Brandon Quintin Adams; Everett McGill; Wendy Robie
003754, My Favorite Wife, 1940, Garson Kanin, Bella Spewack; Sam Spewack, Irene Dunne; Cary Grant; Randolph Scott
003755, THX 1138, 1971, George Lucas, George Lucas; George Lucas, Robert Duvall; Donald Pleasence; Don Pedro Colley
003756, Rush Hour, 2016, Jon Turteltaub, Bill Lawrence; Blake McCormick, Henry Ian Cusick; Maurice Compte; Aimee Garcia
003757, Fantasia, 1940, Norman Ferguson; James Algar, Joe Grant; Dick Huemer, Leopold Stokowski; Deems Taylor; Corey Burton
003758, Chicken Little, 2005, Mark Dindal, Mark Dindal; Mark Kennedy, Zach Braff; Joan Cusack; Garry Marshall
003759, Hide and Seek, 2005, John Polson, Ari Schlossberg, Robert De Niro; Dakota Fanning; Famke Janssen
003760, Young Guns, 1988, Christopher Cain, John Fusco, Emilio Estevez; Kiefer Sutherland; Lou Diamond Phillips
003761, The Deep, 1977, Peter Yates, Peter Benchley; Peter Benchley, Jacqueline Bisset; Nick Nolte; Dick Anthony Williams
003762, Who's Afraid of Virginia Woolf?, 1966, Mike Nichols, Ernest Lehman, Elizabeth Taylor; Richard Burton; George Segal
003763, McLintock!, 1963, Andrew V. McLaglen, James Edward Grant, John Wayne; Maureen O'Hara; Patrick Wayne
003764, Chocolate City, 2015, Jean-Claude La Marre, Jean-Claude La Marre, Robert Ri'chard; Tyson Beckford; DeRay Davis
003765, The Long Kiss Goodnight, 1996, Renny Harlin, Shane Black, Geena Davis; Samuel L. Jackson; Yvonne Zima
003766, Legally Blonde 2: Red, White &amp; Blonde, 2003, Charles Herman-Wurmfeld, Amanda Brown; Eve Ahlert, Reese Witherspoon; Sally Field; Bob Newhart
003767, The Loved Ones, 2009, Sean Byrne, Sean Byrne, Xavier Samuel; Robin McLeavy; Victoria Thaine
003768, Summer of Sam, 1999, Spike Lee, Spike Lee; Victor Colicchio, John Leguizamo; Adrien Brody; Mira Sorvino
003769, The Grapes of Wrath, 1940, John Ford, Nunnally Johnson; John Steinbeck, Henry Fonda; Jane Darwell; John Carradine
003770, Ran, 1985, Akira Kurosawa, Akira Kurosawa; Hideo Oguni, Tatsuya Nakadai; Akira Terao; Jinpachi Nezu
003771, Rise of the Footsoldier, 2007, Julian Gilbey, Julian Gilbey; Will Gilbey, Ricci Harnett; Terry Stone; Craig Fairbrass
003772, Ben-Hur, 2016, Timur Bekmambetov, Lew Wallace; Keith R. Clarke, Jack Huston; Nazanin Boniadi; Haluk Bilginer
003773, In the Loop, 2009, Armando Iannucci, Jesse Armstrong; Simon Blackwell, Tom Hollander; Peter Capaldi; James Gandolfini
003774, Taxi(III), 2015, Jafar Panahi, Jafar Panahi, Jafar Panahi
003775, Major Payne, 1995, Nick Castle, Joe Connelly; Bob Mosher, Damon Wayans; Michael Ironside; Scott Bigelow
003776, Rush Hour 3, 2007, Brett Ratner, Jeff Nathanson; Ross LaManna, Jackie Chan; Chris Tucker; Max von Sydow
003777, Live Nude Girls, 2014, Jay Leggett, Mike Hatton; Jay Leggett, Mike Hatton; Dave Foley; Bree Olson
003778, The Doors, 1991, Oliver Stone, Randall Jahnson; Oliver Stone, Val Kilmer; Meg Ryan; Kyle MacLachlan
003779, Kangaroo Jack, 2003, David McNally, Steve Bing; Barry O'Brien, Anthony Anderson; Jerry O'Connell; Estella Warren
003780, Cellular, 2004, David R. Ellis, Larry Cohen; Chris Morgan, Kim Basinger; Chris Evans; Jason Statham
003781, Sharknado 2: The Second One, 2014, Anthony C. Ferrante, Thunder Levin, Ian Ziering; Tara Reid; Vivica A. Fox
003782, Life as a House, 2001, Irwin Winkler, Mark Andrus, Hayden Christensen; Kevin Kline; Kristin Scott Thomas
003783, Superman II, 1980, Richard Lester; Richard Donner, Joe Shuster; Jerry Siegel, Gene Hackman; Christopher Reeve; Margot Kidder
003784, The Last Legion, 2007, Doug Lefler, Jez Butterworth; Tom Butterworth, Colin Firth; Ben Kingsley; Aishwarya Rai Bachchan
003785, This Must Be the Place, 2011, Paolo Sorrentino, Paolo Sorrentino; Umberto Contarello, Sean Penn; Frances McDormand; Judd Hirsch
003786, Courageous, 2011, Alex Kendrick, Alex Kendrick; Stephen Kendrick, Alex Kendrick; Ken Bevel; Kevin Downes
003787, Universal Soldier, 1992, Roland Emmerich, Richard Rothstein; Christopher Leitch, Jean-Claude Van Damme; Dolph Lundgren; Ally Walker
003788, Austenland, 2013, Jerusha Hess, Jerusha Hess; Shannon Hale, Keri Russell; JJ Feild; Jennifer Coolidge
003789, The Cabinet of Dr. Caligari, 1920, Robert Wiene, Carl Mayer; Hans Janowitz, Werner Krauss; Conrad Veidt; Friedrich Feher
003790, The Devil's Double, 2011, Lee Tamahori, Michael Thomas; Latif Yahia, Dominic Cooper; Ludivine Sagnier; Raad Rawi
003791, The Money Pit, 1986, Richard Benjamin, David Giler, Tom Hanks; Shelley Long; Alexander Godunov
003792, Johnny English, 2003, Peter Howitt, Neal Purvis; Robert Wade, Rowan Atkinson; John Malkovich; Natalie Imbruglia
003793, Encino Man, 1992, Les Mayfield, George Zaloom; Shawn Schepps, Sean Astin; Brendan Fraser; Pauly Shore
003794, Mercury Rising, 1998, Harold Becker, Ryne Douglas Pearson; Lawrence Konner, Bruce Willis; Miko Hughes; Alec Baldwin
003795, Titus, 1999, Julie Taymor, William Shakespeare; Julie Taymor, Anthony Hopkins; Jessica Lange; Osheen Jones
003796, Zombie Strippers!, 2008, Jay Lee, Jay Lee, Jenna Jameson; Robert Englund; Roxy Saint
