ID,title,year,director(s),writer(s),actor(s)
4329,Changing Lanes,2002,Roger Michell,Chap Taylor;Michael Tolkin,Ben Affleck;Samuel L. Jackson;Kim Staunton;Toni Collette
4330,The Adventures of Sharkboy and Lavagirl,2005,Robert Rodriguez,,Taylor Lautner;Taylor Dooley;Cayden Boyd;George Lopez
4331,The Lord of the Rings,1978,Ralph Bakshi,J.R.R. Tolkien;Chris Conkling;Peter S. Beagle,Christopher Guard;William Squire;Michael Scholes;John Hurt
4332,Kirikou and the Sorceress,1998,Michel Ocelot,Michel Ocelot,Doudou Gueye Thiaw;Maimouna N'Diaye;Awa Sene Sarr;Robert Liensol
4333,Ken Park,2002,Larry Clark;Edward Lachman,Harmony Korine,James Ransone;Tiffany Limos;Maeve Quinlan;Amanda Plummer
4334,Scanners,1981,David Cronenberg,David Cronenberg,Jennifer O'Neill;Stephen Lack;Patrick McGoohan;Lawrence Dane
4335,A Good Year,2006,Ridley Scott,Marc Klein;Peter Mayle,Russell Crowe;Marion Cotillard;Albert Finney;Tom Hollander
4336,Mansfield Park,1999,Patricia Rozema,Jane Austen;Patricia Rozema,Lindsay Duncan;James Purefoy;Sheila Gish;Harold Pinter
4337,The Alamo,2004,John Lee Hancock,Leslie Bohem;Stephen Gaghan;John Lee Hancock,Dennis Quaid;Billy Bob Thornton;Jason Patric;Patrick Wilson
4338,The Pledge,2001,Sean Penn,Friedrich Dürrenmatt;Jerzy Kromolowski;Mary Olson-Kromolowski,Jack Nicholson;Aaron Eckhart;Helen Mirren;Robin Wright
4339,Aquamarine,2006,Elizabeth Allen Rosenbaum,John Quaintance;Jessica Bendinger;Alice Hoffman,Emma Roberts;Joanna 'JoJo' Levesque;Sara Paxton;Jake McDorman
4340,Confucius,2010,Hu Mei,Chan Hon;He Yanjiang;Jiang Qitao;Hu Mei,Chow Yun-Fat;Chen Dao-Ming;Zhou Xun;Wang Ban
4341,The One I Love,2014,Charlie McDowell,Justin Lader,Mark Duplass;Elisabeth Moss;Ted Danson;Kiana Cason
4342,Berserk: The Golden Age Arc - The Egg of the King,2012,Toshiyuki Kubooka,Ichirô Okouchi,Hiroaki Iwanaga;Takahiro Sakurai;Yūki Kaji;Takahiro Fujiwara
4343,The Secret of NIMH,1982,Don Bluth,Don Bluth;Will Finn;Gary Goldman;Robert C. O'Brien;John Pomeroy,Derek Jacobi;Elizabeth Hartman;Arthur Malet;Dom DeLuise
4344,Beaches,1988,Garry Marshall,Iris Rainer;Mary Agnes Donoghue,Bette Midler;Barbara Hershey;John Heard;Spalding Gray
4345,The Brave Little Toaster,1987,Jerry Rees,Thomas M. Disch;Jerry Rees;Joe Ranft,Jon Lovitz;Timothy Stack;Phil Hartman;Deanna Oliver
4346,L'Affaire SK1,2015,Frédéric Tellier,,Raphaël Personnaz;Nathalie Baye;Olivier Gourmet;Michel Vuillermoz
4347,Little White Lies,2010,Guillaume Canet,Guillaume Canet,François Cluzet;Benoît Magimel;Jean Dujardin;Valérie Bonneton
4348,The Pacific,2010,Jeremy Podeswa;Tim Van Patten;David Nutter;Graham Yost;Carl Franklin;Tony To,Gary Goetzman;Robert Schenkkan;Graham Yost;George Pelecanos;Larry Andries;Michelle Ashford,James Badge Dale;Joseph Mazzello;Jon Seda;Ashton Holmes
4349,Look Who's Talking Too,1990,Amy Heckerling,Amy Heckerling;Neal Israel,John Travolta;Kirstie Alley;Bruce Willis;Roseanne Barr
4350,Careful What You Wish For,2015,Elizabeth Allen Rosenbaum,Chris Frisina,Isabel Lucas;Nick Jonas;Dermot Mulroney;Graham Rogers
4351,The Soloist,2009,Joe Wright,Susannah Grant;Steve Lopez,Robert Downey Jr.;Jamie Foxx;Catherine Keener;Nelsan Ellis
4352,City Slickers,1991,Ron Underwood,Lowell Ganz;Babaloo Mandel,Billy Crystal;Daniel Stern;Bruno Kirby;Jack Palance
4353,Area 51,2015,Oren Peli,Oren Peli,Reid Warner;Darrin Bragg;Ben Rovner;Jelena Nik
4354,The Diving Bell and the Butterfly,2007,Julian Schnabel,Ronald Harwood;Jean-Dominique Bauby,Mathieu Amalric;Emmanuelle Seigner;Marie-Josée Croze;Anne Consigny
4355,The Phantom of the Opera,2004,Joel Schumacher,Andrew Lloyd Webber;Joel Schumacher;Gaston Leroux,Gerard Butler;Emmy Rossum;Patrick Wilson;Miranda Richardson
4356,The Tall Man,2012,Pascal Laugier,Pascal Laugier,Jessica Biel;Jodelle Ferland;Stephen McHattie;Jakob Davies
4357,Mallrats,1995,Kevin Smith,Kevin Smith,Jason Lee;Jeremy London;Shannen Doherty;Claire Forlani
4358,Beneath the Planet of the Apes,1970,Ted Post,Pierre Boileau;Paul Dehn;Mort Abrahams,James Franciscus;Kim Hunter;Maurice Evans;Linda Harrison
4359,India's Daughter,2015,Leslee Udwin,Leslee Udwin,
4360,My Way,2011,Kang Je-Gyu,Kim Byung-In;Na Hyun;Kang Je-Gyu,Jang Dong-gun;Joe Odagiri;Fan Bingbing;Kim In-Kwon
4361,Ordinary People,1980,Robert Redford,Judith Guest;Alvin Sargent,Donald Sutherland;Mary Tyler Moore;Judd Hirsch;Timothy Hutton
4362,Nausea,2015,Zeki Demirkubuz,,Zeki Demirkubuz;Oyku Karayel;Caglar Corumlu
4363,The Collection,2012,Marcus Dunstan,Patrick Melton;Marcus Dunstan,Josh Stewart;Christopher McDonald;Emma Fitzpatrick;Lee Tergesen
4364,The Visitors,1993,Jean-Marie Poiré,Christian Clavier;Jean-Marie Poiré,Jean Reno;Valérie Lemercier;Christian Clavier;Marie-Anne Chazel
4365,Billy Madison,1995,Tamra Davis,Tim Herlihy;Adam Sandler,Adam Sandler;Darren McGavin;Bridgette Wilson;Bradley Whitford
4366,The Long Goodbye,1973,Robert Altman,Raymond Chandler;Leigh Brackett,Elliott Gould;Nina van Pallandt;Sterling Hayden;Mark Rydell
4367,Queen Margot,1994,Patrice Chéreau,Alexandre Dumas père;Danièle Thompson;Patrice Chéreau,Isabelle Adjani;Daniel Auteuil;Jean-Hugues Anglade;Vincent Pérez
4368,Just Like Heaven,2005,Mark Waters,Marc Levy;Leslie Dixon;Peter Tolan,Reese Witherspoon;Mark Ruffalo;Donal Logue;Dina Spybey-Waters
4369,My Sassy Girl,2008,Yann Samuell,Kwak Jae-Young;Kim Ho-Sik;Victor Levin,Elisha Cuthbert;Jesse Bradford;Austin Basis;Chris Sarandon
4370,Dr. Seuss' The Cat in the Hat,2003,Bo Welch,Dr. Seuss;Alec Berg;David Mandel;Jeff Schaffer,Mike Myers;Alec Baldwin;Kelly Preston;Dakota Fanning
4371,Masters of the Universe,1987,Gary Goddard,David Odell,Dolph Lundgren;Frank Langella;Meg Foster;Billy Barty
4372,One Man Band,2005,Mark Andrews;Andrew Jimenez,Andrew Jimenez;Mark Andrews,
4373,The Three Musketeers,1948,George Sidney,Alexandre Dumas père;Robert Ardrey,Lana Turner;Gene Kelly;June Allyson;Van Heflin
4374,The Forgotten,2004,Joseph Ruben,Gerald Di Pego,Julianne Moore;Anthony Edwards;Jessica Hecht;Christopher Kovaleski
4375,Rock-A-Doodle,1992,Don Bluth;Gary Goldman,Don Bluth,Glen Campbell;Eddie Deezen;Toby Scott Ganger
4376,The Philadelphia Story,1940,George Cukor,Donald Ogden Stewart;Waldo Salt,Cary Grant;Katharine Hepburn;James Stewart;Ruth Hussey
4377,2047 - Sights of Death,2014,Alessandro Capone,Tommaso Agnese;Luca D'Alisera,Danny Glover;Rutger Hauer;Daryl Hannah;Stephen Baldwin
4378,Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,Tony Craig;Rick Schneider-Calabash;Roberts Gannaway,Roberts Gannaway;Thomas Hart;Jess Winfield;Kevin Campbell,Wayne Allwine;Tony Anselmo;Carlos Alazraqui;Jeff Bennett
4379,Herbie Rides Again,1974,Robert Stevenson,Robert Stevenson;Gordon Buford,Helen Hayes;Ken Berry;Stefanie Powers;John McIntire
4380,Justice League: Crisis on Two Earths,2010,Sam Liu;Lauren Montgomery,Dwayne McDuffie,Mark Harmon;William Baldwin;James Woods;Nolan North
4381,Kitchen Sink,2015,Robbie Pickering,Oren Uziel,Vanessa Hudgens;Ed Westwick;Bob Odenkirk;Mackenzie Davis
4382,Free Willy 2 - The Adventure Home,1995,Dwight H. Little,Karen Janszen;Corey Blechman;John Mattson,Jason James Richter;Michael Madsen;Jayne Atkinson;August Schellenberg
4383,Casualties of War,1989,Brian De Palma,Daniel Lang;David Rabe,Michael J. Fox;Sean Penn;Don Harvey;John C. Reilly
4384,The Reaping,2007,Stephen Hopkins,,Hilary Swank;David Morrissey;Idris Elba;AnnaSophia Robb
4385,Light Gradient,2009,Jan Krüger,Jan Krüger,Sebastian Schlecht;Eric Golub;Iris Minich;Denis Alevi
4386,Training Wheels,2013,Eric Favela;Regis Schuller,Brett Hoffman,Pierre Coffin;Miranda Cosgrove;Dana Gaier;Dave Rosenbaum
4387,Blown Away,1994,Stephen Hopkins,John Rice;Joe Batteer,Jeff Bridges;Tommy Lee Jones;Lloyd Bridges;Forest Whitaker
4388,Mean Machine,2001,Barry Skolnick,Tracy Keenan Wynn;Chris Baker;Charlie Fletcher;Andrew Day,Vinnie Jones;David Kelly;David Hemmings;Ralph Brown
4389,Eraserhead,1977,David Lynch,David Lynch,Jack Nance;Charlotte Stewart;Allen Joseph;Jeanne Bates
4390,Red Dragon,2002,Brett Ratner,Thomas Harris;Ted Tally,Anthony Hopkins;Edward Norton;Ralph Fiennes;Harvey Keitel
4391,The Marine,2006,John Bonito,Michelle Gallagher;Alan B. McElroy,John Cena;Kelly Carlson;Robert Patrick;Abigail Bianca
4392,Everybody's Fine,2009,Kirk Jones,Kirk Jones;Giuseppe Tornatore;Tonino Guerra;Massimo De Rita,Robert De Niro;Drew Barrymore;Kate Beckinsale;Sam Rockwell
4393,Haunt,2013,Mac Carter,Andrew Barrer,Jacki Weaver;Liana Liberato;Danielle Chuchran;Harrison Gilbertson
4394,Hair,1979,Miloš Forman,Gerome Ragni;James Rado,John Savage;Treat Williams;Annie Golden;Beverly D'Angelo
4395,The Monster Squad,1987,Fred Dekker,Shane Black;Fred Dekker,Andre Gower;Robby Kiger;Stephen Macht;Duncan Regehr
4396,A Model Daughter: The Killing of Caroline Byrne,2009,Tony Tilse,Peter Gawler,Garry McDonald;David Lyons;Cariba Heine;Tiriel Mora
4397,Police Story 2013,2013,Ding Sheng,Ding Sheng,Jackie Chan;Liu Ye;Jing Tian;Yu Rong-Guang
4398,Breakfast at Ina's,2015,Mercedes Kane,,
4399,Tucker and Dale vs Evil,2010,Eli Craig,Eli Craig;Morgan Jurgenson,Alan Tudyk;Tyler Labine;Katrina Bowden;Jesse Moss
4400,Tinker Bell and the Great Fairy Rescue,2010,Bradley Raymond,Paul Germain,Mae Whitman;Michael Sheen;Kristin Chenoweth;Lucy Liu
4401,Don't Be Afraid of the Dark,2010,Troy Nixey,Guillermo del Toro;Matthew Robbins,Katie Holmes;Guy Pearce;Bailee Madison;Alan Dale
4402,The Life of David Gale,2003,Alan Parker,Charles Randolph,Kevin Spacey;Kate Winslet;Laura Linney;Gabriel Mann
4403,Jacob's Ladder,1990,Adrian Lyne,Bruce Joel Rubin,Tim Robbins;Elizabeth Peña;Danny Aiello;Matt Craven
4404,The Cook the Thief His Wife & Her Lover,1989,Peter Greenaway,Peter Greenaway,Michael Gambon;Helen Mirren;Tim Roth;Richard Bohringer
4405,Species III,2004,Brad Turner,Ben Ripley,Natasha Henstridge;Sunny Mabrey;Robert Knepper;Robin Dunne
4406,The Body,2012,Oriol Paulo,Oriol Paulo;Lara Sendim,José Coronado;Hugo Silva;Belén Rueda;Aura Garrido
4407,Leroy & Stitch,2006,Tony Craig;Roberts Gannaway,Roberts Gannaway,Tia Carrere;Daveigh Chase;Zoe Caldwell;Kevin McDonald
4408,The Final Countdown,1980,Don Taylor,David Ambrose;Gerry Davis;Thomas Hunter;Peter Powell,Kirk Douglas;Martin Sheen;Katharine Ross;James Farentino
4409,Rebel Without a Cause,1955,Nicholas Ray,Nicholas Ray;Irving Shulman;Stewart Stern,James Dean;Natalie Wood;Sal Mineo;Ann Doran
4410,,,,,
4411,Mea Culpa,2014,Fred Cavayé,Fred Cavayé;Guillaume Lemans,Vincent Lindon;Gilles Lellouche;Nadine Labaki;Gilles Cohen
4412,Snake in the Eagle's Shadow,1978,Yuen Woo-Ping,Yuen Woo-Ping;Chi Yuan Hsi;Huo An Hsi;Shiao Loong;Ng See-Yuen;Chi-Kuang Tsai,Jackie Chan;Yuen Siu-Tin;Hwang Jang-Lee;Dean Shek
4413,The Way He Looks,2014,Daniel Ribeiro,Daniel Ribeiro,Ghilherme Lobo;Fabio Audi;Selma Egrei;Tess Amorim
4414,Perfect Horse,2015,Hans Fels,,
4415,Take Shelter,2011,Jeff Nichols,Jeff Nichols,Michael Shannon;Jessica Chastain;Katy Mixon;Shea Whigham
4416,Posthumous,2014,Lulu Wang,Lulu Wang,Brit Marling;Jack Huston;Tom Schilling;Lambert Wilson
4417,Tarzan II,2005,Brian Smith,Edgar Rice Burroughs,Harrison Chad;George Carlin;Brad Garrett;Ron Perlman
4418,The Right Stuff,1983,Philip Kaufman,Tom Wolfe;Philip Kaufman,Fred Ward;Dennis Quaid;Ed Harris;Scott Glenn
4419,Parkland,2013,Peter Landesman,Peter Landesman,Zac Efron;Billy Bob Thornton;Ron Livingston;Tom Welling
4420,Everyone Says I Love You,1996,Woody Allen,Woody Allen,Drew Barrymore;Diva Gray;Natasha Lyonne;Edward Norton
4421,Running Scared,2006,Wayne Kramer,Wayne Kramer,Paul Walker;Cameron Bright;Vera Farmiga;Chazz Palminteri
4422,Curious George 3: Back To The Jungle,2015,,,Angela Bassett;John Goodman;Frank Welker;Jeff Bennett
4423,The Other Woman,2009,Don Roos,Don Roos;Ayelet Waldman ,Natalie Portman;Lisa Kudrow;Lauren Ambrose;Anthony Rapp
4424,The Promotion,2008,Steve Conrad,Steve Conrad,Seann William Scott;John C. Reilly;Jenna Fischer;Lili Taylor
4425,Snow Queen,2002,David Wu,Simon Moore,Bridget Fonda;Chelsea Hobbs;Jeremy Guilbaut;Robert Wisden
4426,Sydney White,2007,Joe Nussbaum,Chad Gomez Creasey,Amanda Bynes;Sara Paxton;Matt Long;Jeremy Howard
4427,Dream House,2011,Jim Sheridan,David Loucka,Daniel Craig;Naomi Watts;Rachel Weisz;Marton Csokas
4428,Yves Saint Laurent,2014,Jalil Lespert,Marie-Pierre Huster;Jacques Fieschi;Jalil Lespert,Pierre Niney;Guillaume Gallienne;Nikolai Kinski;Charlotte Le Bon
4429,Ants in the Pants,2000,Marc Rothemund,Granz Henman,Tobias Schenke;Axel Stein;Luise Helm;Mina Tander
4430,Man-Thing,2005,Brett Leonard,Hans Rodionoff,Matthew Le Nevez;Rachael Taylor;Jack Thompson;Rawiri Paratene
4431,Amarcord,1973,Federico Fellini,Federico Fellini;Tonino Guerra,Pupella Maggio;Armando Brancia;Magali Noël;Ciccio Ingrassia
4432,Only Yesterday,1991,Isao Takahata,Isao Takahata,Miki Imai;Toshirō Yanagiba ;Yōko Honna;Mayumi Iizuka
4433,The Laws Of The Universe - Part 0,2015,Isamu Imakake,,
4434,Ninja: Shadow of a Tear,2013,Isaac Florentine,David N. White,Scott Adkins;Vithaya Pansringarm;Kane Kosugi;Tim Man
4435,Stalker,1979,Andrei Tarkovsky,Arkadiy Strugatskiy;Boris Strugatskiy,Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko;Alisa Freyndlikh
4436,The Kite Runner,2007,Marc Forster,David Benioff;Khaled Hosseini,Khalid Abdalla;Atossa Leoni;Shaun Toub;Zekeria Ebrahimi
4437,Ghosts of Mars,2001,John Carpenter,John Carpenter;Larry Sulkis,Natasha Henstridge;Ice Cube;Jason Statham;Clea DuVall
4438,Happy Endings,2005,Don Roos,Don Roos,Lisa Kudrow;Steve Coogan;Maggie Gyllenhaal;Jesse Bradford
4439,Boogeyman 2,2007,Jeff Betancourt,Brian Sieve;Eric Kripke,Renee O'Connor;Mae Whitman;Michael Graziadei ;Tobin Bell
4440,Transit,2012,Antonio Negret,Michael Gilvary,Diora Baird;James Frain;Harold Perrineau;Elisabeth Röhm
4441,Rock Star,2001,Stephen Herek,John Stockwell,Mark Wahlberg;Jennifer Aniston;Jason Flemyng;Dominic West
4442,Hannah and Her Sisters,1986,Woody Allen,Woody Allen,Mia Farrow;Carrie Fisher;Michael Caine;Barbara Hershey
4443,Reindeer Games,2000,John Frankenheimer,Ehren Kruger,Ben Affleck;Gary Sinise;Charlize Theron;Dennis Farina
4444,Drifters,2015,Peter Grönlund,Peter Grönlund,Malin Levanon;Lo Kauppi;Kalled Mustonen
4445,Fiddler on the Roof,1971,Norman Jewison,Joseph Stein,Norma Crane;Leonard Frey;Molly Picon;Chaim Topol
4446,Wicked City,1987,Yoshiaki Kawajiri,Hideyuki Kikuchi;Kisei Choo,Yuusaku Yara;Arisa Andô;Asami Mukaidono;Ichirō Nagai
4447,Police Academy 5: Assignment Miami Beach,1988,Alan Myerson,Stephen Curwick,Bubba Smith;David Graf;Michael Winslow;Leslie Easterbrook
4448,Ultimate Avengers,2006,Curt Geda;Steven E. Gordon;Bob Richardson,Greg Johnson,Justin Gross;Grey DeLisle;Michael Massee;Olivia d'Abo
4449,Shocker,1989,Wes Craven,Wes Craven,Michael Murphy;Mitch Pileggi;Sam Scarber;Camille Cooper
4450,The Swan Princess Christmas,2012,Richard Rich,,James Arrington;Maxine Blue;G.K. Bowes;Elle Deets
4451,Sharknado 3: Oh Hell No!,2015,Anthony C. Ferrante,Thunder Levin,Ian Ziering;Tara Reid;Cassie Scerbo;Frankie Muniz
4452,Videodrome,1983,David Cronenberg,David Cronenberg,James Woods;Sonja Smits;Deborah Harry;Peter Dvorsky
4453,The Invisible,2002,Simon Sandquist;Joel Bergvall,Mick Davis;Mats Wahl,Gustaf Skarsgård;Tuva Novotny;Joel Kinnaman;Thomas Hedengran
4454,Aloha Scooby-Doo!,2005,Tim Maltby,Temple Mathews,Frank Welker;Casey Kasem;Mindy Cohn;Grey DeLisle
4455,Wonder Woman,2009,Lauren Montgomery,Michael Jelenic;Gail Simone,Keri Russell;Nathan Fillion;Alfred Molina;Rosario Dawson
4456,Top Secret!,1984,Jim Abrahams;David Zucker;Jerry Zucker,Jim Abrahams;David Zucker;Jerry Zucker;Martyn Burke,Val Kilmer;Lucy Gutteridge;Peter Cushing;Jeremy Kemp
4457,Last Night,2010,Massy Tadjedin,Massy Tadjedin,Keira Knightley;Sam Worthington;Eva Mendes;Guillaume Canet
4458,Enter the Void,2009,Gaspar Noé,Gaspar Noé,Nathaniel Brown;Paz de la Huerta;Cyril Roy;Masato Tanno
4459,Revenge of the Ninja,1983,Sam Firstenberg,James R. Silke,Sho Kosugi;Keith Vitali;Virgil Frye;Arthur Roberts
4460,The Banquet,2006,Feng Xiaogang,Yau-Daai On-Ping;Sheng He-Yu,Zhang Ziyi;Ge You;Daniel Wu;Zhou Xun
4461,Happiness,1998,Todd Solondz,Todd Solondz,Jane Adams;Jon Lovitz;Philip Seymour Hoffman;Dylan Baker
4462,Get the Gringo,2012,Adrian Grunberg,Mel Gibson;Adrian Grunberg;Stacy Perskie,Mel Gibson;Peter Stormare;Dean Norris;Bob Gunton
4463,Terms of Endearment,1983,James L. Brooks,James L. Brooks;Larry McMurtry,Shirley MacLaine;Debra Winger;Jack Nicholson;Danny DeVito
4464,The Next Karate Kid,1994,Christopher Cain,Mark Lee,Pat Morita;Hilary Swank;Michael Ironside;Constance Towers
4465,Prime,2005,Ben Younger,Ben Younger,Uma Thurman;Bryan Greenberg;Meryl Streep;Annie Parisse
4466,Coach Carter,2005,Thomas Carter,Mark Schwahn;John Gatins,Samuel L. Jackson;Rob Brown;Robert Ri'chard;Rick Gonzalez
4467,Parasyte: Part 1,2014,Takashi Yamazaki,Takashi Yamazaki;Ryota Kosawa;Hitoshi Iwaaki,Shota Sometani;Eri Fukatsu;Sadao Abe;Ai Hashimoto
4468,Zero Tolerance,2015,Wych Kaosayananda,,Dustin Nguyen;Gary Daniels;Scott Adkins;Kane Kosugi
4469,A Perfect Getaway,2009,David Twohy,David Twohy,Milla Jovovich;Steve Zahn;Timothy Olyphant;Kiele Sanchez
4470,Dragons: Gift of the Night Fury,2011,Tom Owens,,Jay Baruchel;Gerard Butler;Craig Ferguson;America Ferrera
4471,Lake Placid,1999,Steve Miner,David E. Kelley,Bill Pullman;Bridget Fonda;Oliver Platt;Brendan Gleeson
4472,Night Moves,2013,Kelly Reichardt,Jonathan Raymond;Kelly Reichardt,Jesse Eisenberg;Dakota Fanning;Alia Shawkat;Peter Sarsgaard
4473,The Lady Vanishes,1938,Alfred Hitchcock,Ethel Lina White;Sidney Gilliat;Frank Launder,Margaret Lockwood;Michael Redgrave;Paul Lukas;Dame May Whitty
4474,Swing Kids,1993,Thomas Carter,Jonathan Marc Feldman,Robert Sean Leonard;Christian Bale;Frank Whaley;Barbara Hershey
4475,,,,,
4476,Slovenian Girl,2009,Damjan Kozole,Damjan Kozole,Nina Ivanišin;Peter Musevski;Primož Pirnat;Maruša Kink
4477,Km 31-2,2015,Rigoberto Castañeda,,Iliana Fox;Carlos Aragon;Verónica Merchant;Juan Manuel Bernal
4478,Passengers,2008,Rodrigo García,,Anne Hathaway;Patrick Wilson;Andre Braugher;Dianne Wiest
4479,Battlestar Galactica: Razor,2007,Félix Enríquez Alcalá,Michael Taylor;Ronald D. Moore,Michelle Forbes;Stephanie Jacobsen;Graham Beckel;Jamie Bamber
4480,Scarface,1932,Howard Hawks,Armitage Trail;Ben Hecht,Paul Muni;Ann Dvorak;Karen Morley;Osgood Perkins
4481,Highlander: Endgame,2000,Douglas Aarniokoski,Joel Soisson,Christopher Lambert;Bruce Payne;Adrian Paul;Donnie Yen
4482,Project A,1983,Jackie Chan,Jackie Chan;Edward Tang,Jackie Chan;Yuen Biao;Dick Wei;Sammo Hung
4483,Stalag 17,1953,Billy Wilder,Billy Wilder;Edwin Blum,William Holden;Don Taylor;Otto Preminger;Robert Strauss
4484,Just Go,2015,,,
4485,The Next Best Thing,2000,John Schlesinger,Tom Ropelewski,Madonna;Rupert Everett;Benjamin Bratt;Malcolm Stumpf
4486,Retribution,2015,Dani de la Torre,Alberto Marini,Luis Tosar;Elvira Mínguez;Javier Gutiérrez;Fernando Cayo
4487,Two Men in Town,2014,Rachid Bouchareb,Daniel Boulanger,Forest Whitaker;Harvey Keitel;Brenda Blethyn;Luis Guzmán
4488,Crimson Tide,1995,Tony Scott,Michael Schiffer;Richard P. Henrick,Gene Hackman;Denzel Washington;Viggo Mortensen;James Gandolfini
4489,Alone in the Dark,2005,Uwe Boll,Elan Mastai;Michael Roesch;Peter Scheerer,Christian Slater;Tara Reid;Stephen Dorff;Frank C. Turner
4490,A Moment to Remember,2004,John H. Lee,John H. Lee,Jung Woo-Sung;Son Ye-Jin;Jong-hak Baek;Sun-jin Lee
4491,From Beyond,1986,Stuart Gordon,H. P. Lovecraft;Dennis Paoli,Jeffrey Combs;Barbara Crampton;Ken Foree;Ted Sorel
4492,Carriers,2009,Àlex Pastor;David Pastor,Àlex Pastor;David Pastor,Lou Taylor Pucci;Chris Pine;Piper Perabo;Emily VanCamp
4493,Yankee Zulu,1993,Gray Hofmeyr,Leon Schuster;Gray Hofmeyr,Leon Schuster;John Matshikiza;Wilson Dunster;Terri Treas
4494,The Secret of My Success,1987,Herbert Ross,Jim Cash;Jack Epps Jr.;AJ Carothers,Michael J. Fox;Helen Slater;Richard Jordan;Margaret Whitton
4495,Fair Game,2010,Doug Liman,Jez Butterworth;John-Henry Butterworth,Naomi Watts;Sean Penn;Ty Burrell;Brooke Smith
4496,The Berlin File,2013,Ryoo Seung-Wan,Ryoo Seung-Wan,Ha Jung-Woo;Han Suk-Kyu;Ryoo Seung-Bum;Jun Ji-hyun
4497,The Muppets Take Manhattan,1984,Frank Oz,Frank Oz;Tom Patchett;Jay Tarses,Jim Henson;Frank Oz;Dave Goelz;Steve Whitmire
4498,Air Mater,2011,Rob Gibbs,John Lasseter;Rob Gibbs,Larry the Cable Guy;Stacy Keach;Keith Ferguson;Lindsey Coll
4499,Black Mask,1996,Daniel Lee,Koan Hui On;Tsui Hark,Jet Li;Sean Lau;Karen Mok;Françoise Yip
4500,Election 2,2006,Johnnie To,Yau Nai-Hoi;Tin-Shing Yip,Louis Koo;Simon Yam;Nick Cheung;Gordon Lam Ka-Tung
4501,Tai Chi Zero,2012,Stephen Fung,Chen Kuo-Fu,Yuan Xiao-Chao;AngelaBaby;Tony Leung Ka-Fai;Eddie Peng
4502,The First Power,1990,Robert Resnikoff,Robert Resnikoff,Lou Diamond Phillips;Tracy Griffith;Jeff Kober;Mykelti Williamson
4503,Serendipity,2001,Peter Chelsom,Marc Klein,John Cusack;Kate Beckinsale;Jeremy Piven;Bridget Moynahan
4504,Jack Frost,1998,Troy Miller,Mark Steven Johnson,Michael Keaton;Kelly Preston;Mark Addy;Joseph Cross
4505,Monster's Ball,2001,Marc Forster,Milo Addica;Will Rokos,Halle Berry;Billy Bob Thornton;Heath Ledger;Sean Combs
4506,Arthur 3: The War of the Two Worlds,2010,Luc Besson,Luc Besson;Céline Garcia,Selena Gomez;Freddie Highmore;Mia Farrow;Iggy Pop
4507,Soldiers of Fortune,2012,Maksim Korostyshevsky,Alexandre Coscas;Robert Crombie;Joe Kelbley,Christian Slater;Ving Rhames;Colm Meaney;Freddy Rodríguez
4508,Gladiator Of Pompeii,2007,Paolo Poeti,,Victor Alfieri;Tomas Arana;Linda Batista;Gunther Gillian
4509,30 Days of Night: Dark Days,2010,Ben Ketai,Steve Niles;Ben Ketai;Ben Templesmith,Kiele Sanchez;Mia Kirshner;Diora Baird;Rhys Coiro
4510,Lock, Stock and Two Smoking Barrels,1998,Guy Ritchie,Guy Ritchie,Jason Flemyng;Dexter Fletcher;Nick Moran;Jason Statham
4511,The Inbetweeners Movie,2011,Ben Palmer,Iain Morris;Damon Beesley,Simon Bird;James Buckley;Blake Harrison;Joe Thomas
4512,Spring,2015,Aaron Moorhead;Justin Benson,Justin Benson,Lou Taylor Pucci;Nadia Hilker;Nick Nevern;Augie Duke
4513,Damien: Omen II,1978,Don Taylor;Mike Hodges,Stanley Mann;Mike Hodges,William Holden;Lee Grant;Jonathan Scott-Taylor;Robert Foxworth
4514,Charlie St. Cloud,2010,Burr Steers,Craig Pearce;Lewis Colick,Zac Efron;Amanda Crew;Kim Basinger;Chris Massoglia
4515,The Mind's Eye,2015,Joe Begos,Joe Begos,Graham Skipper;Lauren Ashley Carter;John Speredakos;Larry Fessenden
4516,Batman,1966,Leslie H. Martinson,Lorenzo Semple Jr.;Bob Kane,Adam West;Burt Ward;Cesar Romero;Burgess Meredith
4517,Tapped Out,2014,Allan Ungar,Allan Ungar,Michael Biehn;Cody Hackman;Anderson Silva;Lyoto Machida
4518,Sommersby,1993,Jon Amiel,Sarah Kernochan;Nicholas Meyer;Anthony Shaffer,Jodie Foster;Richard Gere;Bill Pullman;James Earl Jones
4519,Killers,2014,Kimo Stamboel;Timo Tjahjanto,Timo Tjahjanto;Takuji Ushiyama,Kazuki Kitamura;Oka Antara;Rin Takanashi;Luna Maya
4520,The First Time,2012,Jon Kasdan,Jon Kasdan,Dylan O'Brien;Britt Robertson;Craig Roberts;James Frecheville
4521,The Man Who Wasn't There,2001,Joel Coen,Joel Coen;Ethan Coen,Billy Bob Thornton;Frances McDormand;Michael Badalucco;James Gandolfini
4522,Head-On,2004,Fatih Akin,Fatih Akin,Birol Ünel;Sibel Kekilli;Catrin Striebeck;Güven Kıraç
